dataset,depth,num_features,num_classes,num_samples_train,run_idx,seed,test_acc,test_ce,val_acc,val_ce,n_leaves,tree_depth
iris,4,4,3,120,1,1276,1.0,2.2204460492503136e-16,1.0,2.2204460492503136e-16,7,4
iris,4,4,3,120,2,1318,1.0,2.2204460492503136e-16,0.9333333333333333,0.07324081924454086,7,4
iris,4,4,3,120,3,1360,0.8,7.20873067782343,0.8666666666666667,2.476151045185684,7,4
iris,4,4,3,120,4,1402,0.8,7.20873067782343,0.9333333333333333,2.4029102259411435,7,4
iris,4,4,3,120,5,1444,1.0,2.2204460492503136e-16,0.9333333333333333,0.07324081924454086,7,4
car,4,6,4,1382,1,1276,0.7976878612716763,0.4255401059840377,0.8265895953757225,0.4118430003944927,8,4
car,4,6,4,1382,2,1318,0.7976878612716763,0.4255401059840377,0.8265895953757225,0.4118430003944927,8,4
car,4,6,4,1382,3,1360,0.7976878612716763,0.4255401059840377,0.8265895953757225,0.4118430003944927,8,4
car,4,6,4,1382,4,1402,0.7976878612716763,0.4255401059840377,0.8265895953757225,0.4118430003944927,8,4
car,4,6,4,1382,5,1444,0.7976878612716763,0.4255401059840377,0.8265895953757225,0.4118430003944927,8,4
car,6,6,4,1382,1,1276,0.9017341040462428,0.2044156396060191,0.8728323699421965,0.21656776646698903,20,6
car,6,6,4,1382,2,1318,0.9017341040462428,0.2044156396060191,0.8728323699421965,0.21656776646698903,20,6
car,6,6,4,1382,3,1360,0.9017341040462428,0.2044156396060191,0.8728323699421965,0.21656776646698903,20,6
car,6,6,4,1382,4,1402,0.9017341040462428,0.2044156396060191,0.8728323699421965,0.21656776646698903,20,6
car,6,6,4,1382,5,1444,0.9017341040462428,0.2044156396060191,0.8728323699421965,0.21656776646698903,20,6
pima,4,8,2,614,1,1276,0.6233766233766234,1.5665823532465293,0.7012987012987013,1.9601199702546257,16,4
pima,4,8,2,614,2,1318,0.6233766233766234,1.5665823532465293,0.7012987012987013,1.9601199702546257,16,4
pima,4,8,2,614,3,1360,0.6233766233766234,1.5665823532465293,0.7012987012987013,1.9601199702546257,16,4
pima,4,8,2,614,4,1402,0.6233766233766234,1.5665823532465293,0.7012987012987013,1.9601199702546257,16,4
pima,4,8,2,614,5,1444,0.6233766233766234,1.5665823532465293,0.7012987012987013,1.9601199702546257,16,4
pima,8,8,2,614,1,1276,0.6753246753246753,7.780294039012723,0.7792207792207793,5.831993869262761,67,8
pima,8,8,2,614,2,1318,0.6753246753246753,7.733863510586937,0.7532467532467533,6.738135261828907,67,8
pima,8,8,2,614,3,1360,0.6883116883116883,7.270287579485002,0.7662337662337663,6.274559330726973,67,8
pima,8,8,2,614,4,1402,0.6883116883116883,7.270287579485002,0.7922077922077922,5.342992683528329,67,8
pima,8,8,2,614,5,1444,0.6753246753246753,7.733863510586937,0.7662337662337663,6.270035867165048,67,8
australian,4,38,2,552,1,1276,0.7391304347826086,0.5282885611509571,0.6956521739130435,0.5930235609033415,15,4
australian,4,38,2,552,2,1318,0.7391304347826086,0.5282885611509571,0.6956521739130435,0.5930235609033415,15,4
australian,4,38,2,552,3,1360,0.7391304347826086,0.5282885611509571,0.6956521739130435,0.5930235609033415,15,4
australian,4,38,2,552,4,1402,0.7391304347826086,0.5282885611509571,0.6956521739130435,0.5930235609033415,15,4
australian,4,38,2,552,5,1444,0.7391304347826086,0.5282885611509571,0.6956521739130435,0.5930235609033415,15,4
