timestamp,dataset,depth,num_features,num_classes,num_samples_train,dt_test_acc_mean,dt_test_acc_std,dt_test_ce_mean,dt_test_ce_std,dt_val_acc_mean,dt_val_acc_std
2026-04-18T01:04:16.339985,iris,4,4,3,120,0.9199999999999999,0.0979795897113271,2.8834922711293722,3.531542370762984,0.9333333333333333,0.04216370213557838
2026-04-18T01:04:29.828765,car,4,6,4,1382,0.7976878612716763,0.0,0.4255401059840377,0.0,0.8265895953757225,0.0
2026-04-18T01:04:41.214998,car,6,6,4,1382,0.9017341040462428,0.0,0.2044156396060191,0.0,0.8728323699421965,0.0
2026-04-18T01:04:52.528437,pima,4,8,2,614,0.6233766233766234,0.0,1.5665823532465293,0.0,0.7012987012987013,0.0
2026-04-18T01:05:04.794449,pima,8,8,2,614,0.6805194805194805,0.006362311020216049,7.557719243831319,0.23529856277061284,0.7714285714285715,0.013244206528812431
2026-04-18T01:05:17.168186,australian,4,38,2,552,0.7391304347826086,0.0,0.5282885611509571,0.0,0.6956521739130435,0.0
2026-04-18T01:05:29.265485,australian,8,38,2,552,0.7507246376811594,0.014199940537873506,5.4437362942351895,0.467240809877579,0.7391304347826086,0.0
2026-04-18T01:05:44.025842,australian,12,38,2,552,0.6898550724637682,0.011594202898550725,11.089253697359899,0.3897701584366396,0.7130434782608696,0.021299910806810228
2026-04-18T01:05:56.593858,lymph,4,47,2,113,0.7333333333333333,0.0,2.8933523431912493,0.0,0.5,0.0
2026-04-18T01:06:08.453532,lymph,8,47,2,113,0.6,0.0,7.455147981917534,0.0,0.8571428571428571,0.0
2026-04-18T01:06:19.638958,lymph,12,47,2,113,0.5866666666666667,0.02666666666666666,12.602429035722885,0.9611640903764567,0.6428571428571429,0.0
2026-04-18T01:06:30.870034,breast,4,9,2,559,0.9571428571428571,1.1102230246251565e-16,0.5790287408420032,0.0,0.8714285714285716,1.1102230246251565e-16
2026-04-18T01:06:43.944349,breast,8,9,2,559,0.9857142857142858,0.0,0.5149093341302452,0.0,0.9114285714285714,0.005714285714285694
2026-04-18T01:06:54.738472,breast,9,9,2,559,0.9657142857142856,0.006998542122237628,1.2357824019125883,0.25225302648307024,0.9,0.012777531299998802
2026-04-18T01:07:05.893194,heart,4,20,2,189,0.6,0.01194873045260088,2.3823986553419343,0.008282228824491233,0.65,0.0
2026-04-18T01:07:17.688266,heart,8,20,2,189,0.6390243902439025,0.009756097560975618,12.197467090838533,0.35100969264295345,0.6849999999999999,0.012247448713915848
2026-04-18T01:07:29.946240,heart,12,20,2,189,0.6,0.02487326591996479,14.41746135564686,0.8965233754745514,0.7849999999999999,0.012247448713915901
2026-04-18T01:07:41.473849,ecoli,4,6,5,228,0.812,0.009797958971132666,4.7727572166960455,0.35315423707629817,0.8979591836734693,1.1102230246251565e-16
2026-04-18T01:07:54.095309,ecoli,6,6,5,228,0.852,0.00979795897113272,4.659188000174629,0.35315423707629856,0.7795918367346939,0.015272070966424267
2026-04-18T01:08:06.430174,led7,4,7,8,1794,0.6961038961038961,0.0,1.0439696005646077,0.0,0.6510416666666666,0.0
2026-04-18T01:08:18.438483,led7,7,7,8,1794,0.8,0.0,2.991864262042028,0.0,0.796875,0.0
2026-04-18T01:08:30.410219,compas,4,12,2,8446,0.6922348484848485,0.0,0.5956455853958496,0.0,0.6647727272727273,0.0
2026-04-18T01:08:42.150989,compas,8,12,2,8446,0.6833333333333333,0.0007575757575757792,0.8640983591761484,0.016305780686483987,0.6814393939393939,0.0007575757575757347
2026-04-18T01:08:53.574158,compas,12,12,2,8446,0.66875,0.0011043469497813384,3.5903682439545315,0.04478348631944475,0.6681818181818181,0.0015386436372416346
2026-04-18T01:09:06.060495,german,4,23,2,767,0.65625,0.0,0.6569918500693878,0.0,0.7916666666666666,0.0
2026-04-18T01:09:17.952001,german,8,23,2,767,0.6354166666666666,0.0,2.778475564562834,0.0021284400990248644,0.7916666666666666,0.0
2026-04-18T01:09:28.977328,german,12,23,2,767,0.6020833333333333,0.0077951195557790535,11.438043890560103,0.40081454100398767,0.6666666666666666,0.006588078458684136
2026-04-18T01:09:40.733924,churn,4,40,2,5634,0.7361702127659574,0.0,0.5383072189848432,0.0,0.7073863636363636,0.0
2026-04-18T01:09:55.376709,churn,8,40,2,5634,0.7446808510638298,0.0,0.49138249582060894,0.0,0.6917613636363636,0.0
2026-04-18T01:10:21.204586,churn,12,40,2,5634,0.7412765957446809,0.004071687970044637,4.439126348654179,0.11889692999465984,0.7119318181818182,0.0026037361903157854
2026-04-18T01:10:39.824320,sonar,4,60,2,166,0.7238095238095238,0.019047619047619025,6.851550602145463,0.6840023237427169,0.5809523809523809,0.01904761904761907
2026-04-18T01:10:51.982760,sonar,8,60,2,166,0.6952380952380952,0.0233284737407922,10.984732461445226,0.8408434216102336,0.6190476190476191,0.030116930096841705
2026-04-18T01:11:03.796025,sonar,12,60,2,166,0.6571428571428571,0.019047619047619025,12.357824019125879,0.686545778840327,0.6190476190476191,0.0
2026-04-18T01:11:15.806171,fico,4,23,2,8367,0.6453154875717018,0.0,0.636405478246842,0.0,0.6443594646271511,0.0
2026-04-18T01:11:27.900175,fico,8,23,2,8367,0.679923518164436,0.0007154220624806708,1.3462616178899198,0.03928113860234341,0.6623326959847036,0.0007154220624806708
2026-04-18T01:11:40.515264,fico,12,23,2,8367,0.6720841300191205,0.002635573375160631,5.647226154891787,0.1562571391916138,0.6573613766730402,0.0016668829612010408
2026-04-18T01:11:52.467785,drybean,4,16,7,10888,0.8223201174743024,0.0,0.5074361911230473,0.0,0.8324761204996326,0.0
2026-04-18T01:12:05.061149,drybean,8,16,7,10888,0.9022026431718062,0.0011747430249632984,0.8268562284376457,0.010703085956227407,0.899338721528288,0.001138275781398207
2026-04-18T01:12:19.781151,drybean,12,16,7,10888,0.8945668135095447,0.0009959368550844425,2.585858497145034,0.04525473207942898,0.9077149155033064,0.00035995440746265276
2026-04-18T01:12:31.708991,avila,4,10,12,8344,0.5124077800134138,0.0,1.3982407037333435,0.0,0.5206136145733461,0.0
2026-04-18T01:12:43.611372,avila,8,10,12,8344,0.6613203027689949,0.0004937855217677439,1.1479108377145955,0.0046169883324057095,0.6609779482262704,0.0004697008135730038
2026-04-18T01:12:57.631577,avila,10,10,12,8344,0.8345309954967902,0.0007014661384583243,0.7575366664261456,0.017779605736205142,0.8257909875359539,0.001621431881619126
2026-04-18T01:13:09.877458,banknote,4,4,2,1097,0.927536231884058,0.0,0.4007652871900736,0.0,0.9635036496350364,1.1102230246251565e-16
2026-04-18T01:13:25.138662,wine,4,11,7,5197,0.5092307692307693,0.0,1.3003040137064465,0.0,0.5323076923076923,0.0
