dataset,depth,variant,run_idx,seed,test_acc,test_ce,val_acc,val_ce
heart,4,sampler,1,1276,0.707317054271698,0.671232283115387,0.75,0.6449156999588013
heart,4,sampler,2,1318,0.6829268336296082,0.671663224697113,0.75,0.6446396112442017
heart,4,sampler,3,1360,0.6585366129875183,0.6719340085983276,0.75,0.6444201469421387
heart,4,sampler,4,1402,0.707317054271698,0.6715689301490784,0.75,0.6447160840034485
heart,4,sampler,5,1444,0.707317054271698,0.6710343360900879,0.7749999761581421,0.6447621583938599
heart,4,sampler_with_leaf,1,1276,0.6097561120986938,0.6311783194541931,0.800000011920929,0.5423060655593872
heart,4,sampler_with_leaf,2,1318,0.6097561120986938,0.6347401142120361,0.824999988079071,0.5387817025184631
heart,4,sampler_with_leaf,3,1360,0.6341463327407837,0.6293011903762817,0.7749999761581421,0.5423309206962585
heart,4,sampler_with_leaf,4,1402,0.6341463327407837,0.62870854139328,0.7749999761581421,0.5412102341651917
heart,4,sampler_with_leaf,5,1444,0.6585366129875183,0.6282857656478882,0.7749999761581421,0.5429151058197021
heart,8,sampler,1,1276,0.7560975551605225,0.6215474009513855,0.7749999761581421,0.5921502113342285
heart,8,sampler,2,1318,0.7560975551605225,0.6208447813987732,0.7749999761581421,0.5932411551475525
heart,8,sampler,3,1360,0.7560975551605225,0.6216059327125549,0.7749999761581421,0.5921587347984314
heart,8,sampler,4,1402,0.7560975551605225,0.6217368245124817,0.7749999761581421,0.5920532941818237
heart,8,sampler,5,1444,0.7560975551605225,0.6211421489715576,0.7749999761581421,0.5926594138145447
heart,8,sampler_with_leaf,1,1276,0.7317073345184326,0.5752732157707214,0.7749999761581421,0.5216578245162964
heart,8,sampler_with_leaf,2,1318,0.7317073345184326,0.5777415633201599,0.7749999761581421,0.5212644934654236
heart,8,sampler_with_leaf,3,1360,0.7317073345184326,0.5750167369842529,0.7749999761581421,0.52523273229599
heart,8,sampler_with_leaf,4,1402,0.7317073345184326,0.5738065838813782,0.7749999761581421,0.5200763940811157
heart,8,sampler_with_leaf,5,1444,0.7317073345184326,0.5741785764694214,0.7749999761581421,0.5179477334022522
heart,12,sampler,1,1276,0.6585366129875183,0.6527045965194702,0.8500000238418579,0.5628421306610107
heart,12,sampler,2,1318,0.6585366129875183,0.6524307131767273,0.8500000238418579,0.563067615032196
heart,12,sampler,3,1360,0.6585366129875183,0.652877688407898,0.875,0.5618703365325928
heart,12,sampler,4,1402,0.6585366129875183,0.6526352167129517,0.8500000238418579,0.5621510744094849
heart,12,sampler,5,1444,0.6585366129875183,0.6524932384490967,0.8500000238418579,0.5628638863563538
heart,12,sampler_with_leaf,1,1276,0.6829268336296082,0.6129127144813538,0.875,0.47143664956092834
heart,12,sampler_with_leaf,2,1318,0.6829268336296082,0.6154223084449768,0.875,0.4664735794067383
heart,12,sampler_with_leaf,3,1360,0.6829268336296082,0.6163150072097778,0.875,0.47094959020614624
heart,12,sampler_with_leaf,4,1402,0.6829268336296082,0.6120498776435852,0.875,0.4723077416419983
heart,12,sampler_with_leaf,5,1444,0.6829268336296082,0.6127262711524963,0.875,0.4732891917228699
