timestamp,dataset,depth,num_features,num_classes,num_samples_train,approach,hidden_layers,hidden_size,test_acc_mean,test_acc_std,test_ce_mean,test_ce_std,val_acc_mean,val_acc_std,num_params
2026-04-16T19:42:29.025491,iris,4,4,3,120,ffnn_1h_4,1,4,1.0,0.0,0.9441058754920959,0.0019183970777637393,0.9333333969116211,0.0,28
2026-04-16T19:42:47.262898,iris,4,4,3,120,ffnn_1h_8,1,8,1.0,0.0,0.9450502276420594,0.001376988624102664,0.9333333969116211,0.0,52
2026-04-16T19:43:03.150882,iris,4,4,3,120,ffnn_1h_16,1,16,1.0,0.0,0.942982804775238,0.0019642230590358376,0.9333333969116211,0.0,100
2026-04-16T19:43:38.942835,car,4,6,4,1382,ffnn_1h_4,1,4,0.8034681677818298,0.0,1.2599971532821654,5.711306985190523e-06,0.7919074892997742,0.0,28
2026-04-16T19:44:14.744122,car,4,6,4,1382,ffnn_1h_8,1,8,0.8034681677818298,0.0,1.2599960088729858,1.552297211091023e-05,0.7919074892997742,0.0,52
2026-04-16T19:44:50.887808,car,4,6,4,1382,ffnn_1h_16,1,16,0.8034681677818298,0.0,1.2600005626678468,1.5442347625919128e-05,0.7919074892997742,0.0,100
2026-04-16T19:45:27.590979,car,6,6,4,1382,ffnn_1h_4,1,4,0.7387283086776734,0.009248542785644532,1.2714615345001221,0.0004447189590510794,0.7572253942489624,0.0,38
2026-04-16T19:46:04.424467,car,6,6,4,1382,ffnn_1h_8,1,8,0.7387283086776734,0.009248542785644532,1.2714613676071167,0.00044498617588443784,0.7572253942489624,0.0,70
2026-04-16T19:46:42.559481,car,6,6,4,1382,ffnn_1h_16,1,16,0.7387283086776734,0.009248542785644532,1.2714757919311523,0.00045115284422729963,0.7572253942489624,0.0,134
2026-04-16T19:47:07.088113,pima,4,8,2,614,ffnn_1h_4,1,4,0.7584415435791015,0.01038959324360535,0.6395531296730042,0.0006183382838314479,0.7818181633949279,0.005194807052612304,28
2026-04-16T19:47:30.885148,pima,4,8,2,614,ffnn_1h_8,1,8,0.7610389351844787,0.0063623132955557766,0.6396802186965942,0.0007366256015339437,0.7818181633949279,0.005194807052612304,52
2026-04-16T19:47:57.193716,pima,4,8,2,614,ffnn_1h_16,1,16,0.7558441400527954,0.009718574974632879,0.6396602988243103,0.0007012099014397311,0.7818181633949279,0.005194807052612304,100
2026-04-16T19:48:22.475268,pima,8,8,2,614,ffnn_1h_4,1,4,0.7480519413948059,0.01324418554856535,0.6342572212219239,0.0003287328164518689,0.8103896021842957,0.01038961410522461,48
2026-04-16T19:48:46.423122,pima,8,8,2,614,ffnn_1h_8,1,8,0.7376623511314392,0.009718574974632879,0.6343156099319458,0.00045719899955183667,0.815584409236908,0.012724626591111553,88
2026-04-16T19:49:11.018041,pima,8,8,2,614,ffnn_1h_16,1,16,0.7428571462631226,0.015145308435905712,0.6347846984863281,0.0008142483656054695,0.8103896021842957,0.015584421157836913,168
2026-04-16T19:49:33.748211,australian,4,38,2,552,ffnn_1h_4,1,4,0.52173912525177,0.0,0.6844128608703614,6.07850493620966e-08,0.6231884360313416,0.0,28
2026-04-16T19:50:02.092317,australian,4,38,2,552,ffnn_1h_8,1,8,0.52173912525177,0.0,0.6844128727912903,1.1055014724130277e-07,0.6231884360313416,0.0,52
2026-04-16T19:50:25.574320,australian,4,38,2,552,ffnn_1h_16,1,16,0.52173912525177,0.0,0.6844128370285034,6.529361695112778e-08,0.6231884360313416,0.0,100
