dataset,depth,approach,hidden_layers,hidden_size,run_idx,seed,test_acc,test_ce,val_acc,val_ce
iris,4,ffnn_1h_4,1,4,1,1276,1.0,0.9407777190208435,0.9333333969116211,0.9238595366477966
iris,4,ffnn_1h_4,1,4,2,1318,1.0,0.944303572177887,0.9333333969116211,0.9233429431915283
iris,4,ffnn_1h_4,1,4,3,1360,1.0,0.9443854093551636,0.9333333969116211,0.9233928918838501
iris,4,ffnn_1h_4,1,4,4,1402,1.0,0.9442776441574097,0.9333333969116211,0.9239140748977661
iris,4,ffnn_1h_4,1,4,5,1444,1.0,0.946785032749176,0.9333333969116211,0.92375648021698
iris,4,ffnn_1h_8,1,8,1,1276,1.0,0.9432523250579834,0.9333333969116211,0.9232235550880432
iris,4,ffnn_1h_8,1,8,2,1318,1.0,0.9435325264930725,0.9333333969116211,0.92352294921875
iris,4,ffnn_1h_8,1,8,3,1360,1.0,0.946583092212677,0.9333333969116211,0.9236618876457214
iris,4,ffnn_1h_8,1,8,4,1402,1.0,0.9458874464035034,0.9333333969116211,0.9238165616989136
iris,4,ffnn_1h_8,1,8,5,1444,1.0,0.9459957480430603,0.9333333969116211,0.9238148331642151
iris,4,ffnn_1h_16,1,16,1,1276,1.0,0.9404768347740173,0.9333333969116211,0.9242579340934753
iris,4,ffnn_1h_16,1,16,2,1318,1.0,0.9433437585830688,0.9333333969116211,0.9224564433097839
iris,4,ffnn_1h_16,1,16,3,1360,1.0,0.9435712695121765,0.9333333969116211,0.9237739443778992
iris,4,ffnn_1h_16,1,16,4,1402,1.0,0.9413816928863525,0.9333333969116211,0.9246259331703186
iris,4,ffnn_1h_16,1,16,5,1444,1.0,0.946140468120575,0.9333333969116211,0.9237968921661377
car,4,ffnn_1h_4,1,4,1,1276,0.8034681677818298,1.2599990367889404,0.7919074892997742,1.2558783292770386
car,4,ffnn_1h_4,1,4,2,1318,0.8034681677818298,1.2599912881851196,0.7919074892997742,1.2558692693710327
car,4,ffnn_1h_4,1,4,3,1360,0.8034681677818298,1.2599947452545166,0.7919074892997742,1.2558743953704834
car,4,ffnn_1h_4,1,4,4,1402,0.8034681677818298,1.259993314743042,0.7919074892997742,1.255868673324585
car,4,ffnn_1h_4,1,4,5,1444,0.8034681677818298,1.260007381439209,0.7919074892997742,1.2558839321136475
car,4,ffnn_1h_8,1,8,1,1276,0.8034681677818298,1.2599890232086182,0.7919074892997742,1.2558673620224
