timestamp,dataset,run_idx,seed,num_classical,num_quantum,test_acc,test_ce,val_acc,val_ce
2026-02-25T18:46:22.863086,banknote,1,1276,3,3,0.9347826242446899,0.5816143155097961,0.9197080135345459,0.5788044333457947
2026-02-25T18:49:11.282749,banknote,2,1318,3,3,0.9420289993286133,0.5811498761177063,0.9124087691307068,0.578916609287262
2026-02-25T18:52:02.331740,banknote,3,1360,3,3,0.9347826242446899,0.5818612575531006,0.9197080135345459,0.5792561173439026
