dataset,depth,approach,optimizer,learning_rate,run_idx,seed,test_acc,test_ce,val_acc,val_ce
iris,4,ffnn_0layer,sgd,0.001,2,1318,0.7333333492279053,0.9874480366706848,0.8666667342185974,0.949846088886261
iris,4,ffnn_0layer,sgd,0.001,3,1360,0.8000000715255737,0.9728140234947205,0.9333333969116211,0.9369699954986572
iris,4,ffnn_0layer,sgd,0.001,4,1402,1.0,0.9556214809417725,0.9333333969116211,0.936230480670929
iris,4,ffnn_0layer,sgd,0.001,5,1444,0.8666667342185974,0.9725679159164429,0.9333333969116211,0.9547284245491028
iris,4,ffnn_0layer,sgd,0.005,1,1276,0.9333333969116211,0.9700420498847961,0.9333333969116211,0.9497877955436707
iris,4,ffnn_0layer,sgd,0.005,2,1318,0.7333333492279053,0.9866654872894287,0.8666667342185974,0.9493758082389832
iris,4,ffnn_0layer,sgd,0.005,3,1360,0.8000000715255737,0.9726455807685852,0.9333333969116211,0.9368568062782288
iris,4,ffnn_0layer,sgd,0.005,4,1402,1.0,0.9546787738800049,0.9333333969116211,0.9351943731307983
iris,4,ffnn_0layer,sgd,0.005,5,1444,0.8666667342185974,0.9721828103065491,0.9333333969116211,0.9542214870452881
iris,4,ffnn_0layer,sgd,0.01,1,1276,0.9333333969116211,0.969511866569519,0.9333333969116211,0.9492579102516174
iris,4,ffnn_0layer,sgd,0.01,2,1318,0.7333333492279053,0.9856707453727722,0.8666667342185974,0.9487860798835754
iris,4,ffnn_0layer,sgd,0.01,3,1360,0.8000000715255737,0.9724617004394531,0.9333333969116211,0.9367320537567139
iris,4,ffnn_0layer,sgd,0.01,4,1402,1.0,0.9535852074623108,0.9333333969116211,0.9340044856071472
iris,4,ffnn_0layer,sgd,0.01,5,1444,0.8666667342185974,0.971706748008728,0.9333333969116211,0.9535911083221436
iris,4,ffnn_0layer,sgd,0.05,1,1276,0.9333333969116211,0.9651806354522705,0.9333333969116211,0.9442601799964905
iris,4,ffnn_0layer,sgd,0.05,2,1318,0.8000000715255737,0.9775380492210388,0.9333333969116211,0.9440487623214722
iris,4,ffnn_0layer,sgd,0.05,3,1360,0.8000000715255737,0.9717008471488953,0.9333333969116211,0.9361829161643982
iris,4,ffnn_0layer,sgd,0.05,4,1402,1.0,0.9479621648788452,0.9333333969116211,0.9279887080192566
iris,4,ffnn_0layer,sgd,0.05,5,1444,0.9333333969116211,0.9680532813072205,0.9333333969116211,0.948309063911438
iris,4,ffnn_0layer,sgd,0.1,1,1276,0.9333333969116211,0.9590917229652405,0.9333333969116211,0.9359291195869446
iris,4,ffnn_0layer,sgd,0.1,2,1318,0.8000000715255737,0.9701107740402222,0.9333333969116211,0.9391624331474304
iris,4,ffnn_0layer,sgd,0.1,3,1360,0.8000000715255737,0.9715785980224609,0.9333333969116211,0.9360684156417847
iris,4,ffnn_0layer,sgd,0.1,4,1402,1.0,0.9455798864364624,0.9333333969116211,0.9254128336906433
iris,4,ffnn_0layer,sgd,0.1,5,1444,0.9333333969116211,0.9626441597938538,0.9333333969116211,0.9395883679389954
iris,4,sampler,adam,0.001,1,1276,0.8666667342185974,0.9991263151168823,0.8666667342185974,0.9803135991096497
iris,4,sampler,adam,0.001,2,1318,0.9333333969116211,0.9638141393661499,0.9333333969116211,0.9455403685569763
iris,4,sampler,adam,0.001,3,1360,0.7333333492279053,0.9994666576385498,0.9333333969116211,0.9745611548423767
iris,4,sampler,adam,0.001,4,1402,1.0,0.9824200868606567,1.0,0.9630600810050964
iris,4,sampler,adam,0.001,5,1444,0.9333333969116211,0.9925023317337036,1.0,0.975045382976532
iris,4,sampler,adam,0.005,1,1276,0.7333333492279053,0.9684535264968872,0.8666667342185974,0.9369824528694153
iris,4,sampler,adam,0.005,2,1318,1.0,0.940994381904602,0.9333333969116211,0.9240501523017883
iris,4,sampler,adam,0.005,3,1360,0.7333333492279053,0.9692201018333435,0.8666667342185974,0.9359628558158875
iris,4,sampler,adam,0.005,4,1402,1.0,0.9424458146095276,0.9333333969116211,0.9252926111221313
iris,4,sampler,adam,0.005,5,1444,1.0,0.9429331421852112,0.9333333969116211,0.9236012101173401
iris,4,sampler,adam,0.01,1,1276,1.0,0.9435803890228271,0.9333333969116211,0.9233844876289368
iris,4,sampler,adam,0.01,2,1318,1.0,0.9420749545097351,0.9333333969116211,0.9237812757492065
iris,4,sampler,adam,0.01,3,1360,1.0,0.943022608757019,0.9333333969116211,0.9232116937637329
iris,4,sampler,adam,0.01,4,1402,1.0,0.9450228810310364,0.9333333969116211,0.9237884879112244
iris,4,sampler,adam,0.01,5,1444,1.0,0.9445626735687256,0.9333333969116211,0.9236465692520142
iris,4,sampler,adam,0.05,1,1276,1.0,0.9403353929519653,0.9333333969116211,0.9242503643035889
iris,4,sampler,adam,0.05,2,1318,1.0,0.9433682560920715,0.9333333969116211,0.9210994839668274
